,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
11,128133576,TikTok,"A gold necklace with a charm inspired by modernist French sculptures, but more importantly was worn by Taylor Swift in this now iconic TikTok about fall. Any fan would delightfully appreciate this Easter egg of a gift.",in stock,new,170.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128133576,https://img.buzzfeed.com/buzzfeed-static/static/2021-11/9/22/asset/7bf9e3359233/sub-buzz-867-1636496105-12.png?resize=625:507,tiktok,hbraga/best-gifts-2021,USD,fast fashion
12,128075742,The Wand,"The Wand, a handheld filter designed to remove the histamines and sulfites in alcohol that may trigger headaches and hangovers. This lil' gadget will have them singing out ""blesssss my souuuuul"" like one of the Muses from Hercules.",in stock,new,12.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075742,https://img.buzzfeed.com/buzzfeed-static/static/2019-12/10/21/asset/c2c471a65d23/sub-buzz-479-1576013891-13.jpg?resize=625:625,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
13,128075741,Wreck This Journal,"A Wreck This Journal can encourage them to get more in touch with their artistic side, great if you've they've been intimidated by trying to fill out the blank pages of boring old regular journals. This journal may not start out as a personalized item, but it'll certainly be one when they're done with it.",in stock,new,9.59 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128075741,https://img.buzzfeed.com/buzzfeed-static/static/2021-01/7/18/asset/541ad6e982f0/sub-buzz-14000-1610043986-22.jpg?resize=625:*,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
14,128129994,Snowflake earrings,Snowflake earrings to bring a touch of sparkle and holiday magic to their jewelry lineup.,in stock,new,48.0 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128129994,https://img.buzzfeed.com/buzzfeed-static/static/2021-11/9/16/asset/8a85e441e10a/sub-buzz-4887-1636476503-1.jpg?resize=625:833,baublebar,hbraga/best-gifts-2021,USD,fast fashion
15,128068630,Popbar hot chocolate sticks,A gift assortment of Popbar hot chocolate sticks to upgrade their fave winter beverage from a standard powder hot chocolate mix to one you'd see the main character sipping on under twinkle lights in a Hallmark movie.,in stock,new,24.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068630,https://img.buzzfeed.com/buzzfeed-static/static/2018-12/1/15/asset/buzzfeed-prod-web-01/sub-buzz-23172-1543697089-7.jpg?resize=625:781,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
16,128068631,graphic tee,A graphic tee that'll be appreciated by your most stylish friend *and* the one who typically dresses up in a white tee and jeans.,in stock,new,8.99 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068631,https://img.buzzfeed.com/buzzfeed-static/static/2020-03/6/19/asset/35de44f35250/sub-buzz-128-1583521573-5.png?resize=625:*,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
18,128068633,Baby Yoda Bluetooth speaker,"A Baby Yoda Bluetooth speaker that's *almost* as adorable as the real lil' guy in The Mandalorian, great for anyone who wants to blast their favorite tunes all across the galaxy.",in stock,new,15.29 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068633,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/12/17/asset/78440aafbade/sub-buzz-2544-1605201811-1.jpg?resize=625:417,Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
19,128068636,mirrored digital alarm clock,A sleek mirrored digital alarm clock with USB ports to charge their devices and ensure they have *no reason whatsoever* to be late again.,in stock,new,19.59 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068636,"https://img.buzzfeed.com/buzzfeed-static/static/2020-09/14/17/asset/d7dc3bb716c4/sub-buzz-6991-1600106173-7.jpg?crop=1224:869;0,494&resize=625:*",Amazon,hbraga/best-gifts-2021,USD,"cleaning,fast fashion"
20,128074945,Levi's denim jacket,A Levi's denim jacket lined with Sherpa for that one friend we all have who is forever forgetting a darn coat in the winter. This one is stylish and can be easily layered — they'll adore you for it.,in stock,new,87.98 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128074945,https://img.buzzfeed.com/buzzfeed-static/static/2021-11/1/19/asset/7c302623f6ac/sub-buzz-486-1635795909-4.jpg?resize=625:833,"Levi,levi",hbraga/best-gifts-2021,USD,fast fashion
21,128068637,carbonated bubble clay mask,A carbonated bubble clay mask that starts to bubble once it's applied — get one for you and each of your roomies and prepare for a fun night of selfies (all the while banishing your blackheads).,in stock,new,10.6 USD,https://www.buzzfeed.com/hbraga/best-gifts-2021?origin=sfp#128068637,https://img.buzzfeed.com/buzzfeed-static/static/2019-06/19/14/asset/buzzfeed-prod-web-01/sub-buzz-22974-1560967829-1.jpg?resize=625:625,Amazon,hbraga/best-gifts-2021,USD,cleaning
